257 ; 1513738359146 ; -4204.492 ;   756.055 ; storm.mi ; 2017-350-0
258 ; 1513748064299 ; -4203.754 ;   755.431 ; storm.mi ; 2017-350-0
259 ; 1513748065024 ; -4203.754 ;   755.431 ; storm.mi ; 2017-350-0
260 ; 1513748065183 ; -4203.754 ;   755.431 ; storm.mi ; 2017-350-0
261 ; 1513748064881 ; -4203.754 ;   755.431 ; storm.mi ; 2017-350-0
262 ; 1513760180461 ; -4202.467 ;   755.023 ; storm.mi ; 2017-350-0
263 ; 1513760180349 ; -4202.467 ;   755.023 ; storm.mi ; 2017-350-0
264 ; 1513760179952 ; -4202.467 ;   755.023 ; storm.mi ; 2017-350-0
265 ; 1513760180522 ; -4202.467 ;   755.023 ; storm.mi ; 2017-350-0
266 ; 1513769004903 ; -4201.545 ;   755.015 ; storm.mi ; 2017-350-0
267 ; 1513769005061 ; -4201.545 ;   755.015 ; storm.mi ; 2017-350-0
268 ; 1513769005330 ; -4201.545 ;   755.015 ; storm.mi ; 2017-350-0
269 ; 1513769005236 ; -4201.545 ;   755.015 ; storm.mi ; 2017-350-0
270 ; 1513781892234 ; -4200.731 ;   753.978 ; storm.mi ; 2017-350-0
271 ; 1513781892531 ; -4200.731 ;   753.978 ; storm.mi ; 2017-350-0
272 ; 1513781892411 ; -4200.731 ;   753.978 ; storm.mi ; 2017-350-0
273 ; 1513781893014 ; -4200.731 ;   753.978 ; storm.mi ; 2017-350-0
274 ; 1513791204755 ; -4159.883 ;   753.522 ; storm.mi ; 2017-350-0
275 ; 1513803703399 ; -4158.658 ;   752.765 ; storm.mi ; 2017-350-0
276 ; 1513803703587 ; -4158.658 ;   752.765 ; storm.mi ; 2017-350-0
277 ; 1513803703151 ; -4158.658 ;   752.765 ; storm.mi ; 2017-350-0
278 ; 1513803703638 ; -4158.658 ;   752.765 ; storm.mi ; 2017-350-0
279 ; 1513812027688 ; -4157.676 ;   752.498 ; storm.mi ; 2017-350-0
280 ; 1513812028512 ; -4157.676 ;   752.498 ; storm.mi ; 2017-350-0
281 ; 1513812028303 ; -4157.676 ;   752.498 ; storm.mi ; 2017-350-0
282 ; 1513812028150 ; -4157.676 ;   752.498 ; storm.mi ; 2017-350-0
283 ; 1513824969423 ; -4156.403 ;   751.271 ; storm.mi ; 2017-350-0
284 ; 1513834604331 ; -4155.696 ;   750.771 ; storm.mi ; 2017-350-0
285 ; 1513834604067 ; -4155.696 ;   750.771 ; storm.mi ; 2017-350-0
286 ; 1513834603938 ; -4155.696 ;   750.771 ; storm.mi ; 2017-350-0
287 ; 1513834604352 ; -4155.696 ;   750.771 ; storm.mi ; 2017-350-0
288 ; 1513846723907 ; -4154.581 ;   750.723 ; storm.mi ; 2017-350-0
289 ; 1513846723737 ; -4154.581 ;   750.723 ; storm.mi ; 2017-350-0
290 ; 1513849846889 ; -4154.509 ;   751.288 ; lastgasp.mi ; 2017-354-0
291 ; 1513864515679 ; -4155.112 ;   750.741 ; storm.mi ; 2017-354-1
292 ; 1513864516100 ; -4155.112 ;   750.741 ; storm.mi ; 2017-354-1
293 ; 1513879468773 ; -4155.625 ;   749.731 ; storm.mi ; 2017-354-2
294 ; 1513891692106 ; -4154.352 ;   749.450 ; storm.mi ; 2017-354-2
295 ; 1513891691970 ; -4154.352 ;   749.450 ; storm.mi ; 2017-354-2
296 ; 1513902803026 ; -4154.154 ;   749.940 ; storm.mi ; 2017-354-3
297 ; 1513902802732 ; -4154.154 ;   749.940 ; storm.mi ; 2017-354-3
298 ; 1513902802961 ; -4154.154 ;   749.940 ; storm.mi ; 2017-354-3
299 ; 1513915872051 ; -4153.466 ;   748.544 ; storm.mi ; 2017-354-3
300 ; 1513928713740 ; -4152.014 ;   748.226 ; storm.mi ; 2017-354-3
301 ; 1513930862540 ; -4152.032 ;   748.438 ; storm.mi ; 2017-354-3
302 ; 1513943622427 ; -4153.199 ;   748.129 ; storm.mi ; 2017-354-3
303 ; 1513952986652 ; -4152.761 ;   747.938 ; storm.mi ; 2017-354-3
304 ; 1513965756661 ; -4151.506 ;   748.258 ; storm.mi ; 2017-354-3
305 ; 1513965757100 ; -4151.506 ;   748.258 ; storm.mi ; 2017-354-3
306 ; 1513965756530 ; -4151.506 ;   748.258 ; storm.mi ; 2017-354-3
307 ; 1513965757200 ; -4151.506 ;   748.258 ; storm.mi ; 2017-354-3
308 ; 1513967122563 ; -4151.270 ;   748.934 ; storm.mi ; 2017-354-3
309 ; 1513967122323 ; -4151.270 ;   748.934 ; storm.mi ; 2017-354-3
310 ; 1513967122631 ; -4151.270 ;   748.934 ; storm.mi ; 2017-354-3
311 ; 1513967122260 ; -4151.270 ;   748.934 ; storm.mi ; 2017-354-3
312 ; 1513980613721 ; -4151.142 ;   753.201 ; storm.mi ; 2017-354-3
313 ; 1513980613266 ; -4151.142 ;   753.201 ; storm.mi ; 2017-354-3
314 ; 1513980613904 ; -4151.142 ;   753.201 ; storm.mi ; 2017-354-3
315 ; 1513980613592 ; -4151.142 ;   753.201 ; storm.mi ; 2017-354-3
316 ; 1513989464439 ; -4151.450 ;   753.405 ; storm.mi ; 2017-354-3
317 ; 1513989464658 ; -4151.450 ;   753.405 ; storm.mi ; 2017-354-3
318 ; 1513989464204 ; -4151.450 ;   753.405 ; storm.mi ; 2017-354-3
